fill shape
0.4 0.8 0

216 430

105 332
117 337
123 341
136 347
139 349
147 353
156 357
166 359
178 361
188 362
200 363
213 364
227 365
245 365
262 365
276 363
292 361
307 358
320 355
332 351
342 346
344 345
356 338
350 360
348 364
345 368
341 373
337 378
331 383
325 387
322 391

317 395
313 397
306 400
297 402
288 405
281 407
270 408

281 407
288 405
297 402
306 400
313 397
317 395
322 391

321 397
320 405

318 409
315 410
310 413
315 410
318 409

318 416
318 416
318 431
312 435
305 438
299 441
290 443
281 446
271 447
255 448
242 447
232 445
223 444
217 440

218 416
226 414
240 412
226 414
218 416
201 416
218 416
217 440


212 440
200 441
186 441
174 438
167 437
158 434
152 432
152 414
152 406
151 398
150 393
156 397
161 401
156 397
150 393

144 388
138 383
129 373
123 366
121 363
119 359
115 354
111 348
108 340
105 332
